,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,CCI,direction
65,2000-04-04 00:00:00,4148.890137,4283.450195,4283.450195,3649.110107,4148.890137,2889100000,4548.630092,4660.880029,4543.26042,0.0,0.0,0.0,-134.560058,634.340088,-1.770731588,-1.770731587,-0.017865966,0,0,-55.93771537,35.50003439,-91.43774976,0,0,0,34.52707717,0,16338330000.0,13164869524.0,1,4390.44725,1,-116.917076,1,-31.01390544,-34.08869855,1,1,4278.375464,78258608506.0,5214.544771,4737.289063,4260.033354,4147.890137,0.393336745,-7.214230009,-222.9408236,-1
66,2000-04-05 00:00:00,4169.220215,4025.899902,4286.879883,4009.090088,4169.220215,1947700000,4435.867257,4591.327051,4543.296621,0.0,0.0,0.0,143.320313,277.789795,0.490012448,0.490012445,0.004888158,1,1,-83.91340477,11.61734656,-95.53075133,0,0,0,35.37420291,0,18286030000.0,13254561848.0,1,4253.523802,0,-114.3611506,1,-33.4264612,-36.29569267,1,1,4223.797839,75301022245.0,5236.702256,4704.973842,4173.245428,4168.220215,11.59950549,-4.45491225,-181.111068,1
67,2000-04-06 00:00:00,4267.560059,4266.799805,4324.089844,4196.509766,4267.560059,1746450000,4354.96296,4524.02207,4547.249624,0.0,0.0,0.0,0.760254,127.580078,2.35871071,2.358710716,0.02331323,1,2,-97.03062797,-10.11224835,-86.91837963,0,-1,0,39.45495229,0,20032480000.0,13371800679.0,1,4176.964989,0,-101.9977298,1,-11.09198545,-25.1774507,1,1,4245.678949,76477651393.0,5230.451785,4674.988142,4119.524498,4266.560059,27.67124777,13.22136334,-140.3634707,1
68,2000-04-07 00:00:00,4446.450195,4354.129883,4446.450195,4323.180176,4446.450195,1563430000,4326.645857,4472.364111,4555.387427,0.0,0.0,0.0,92.320312,123.270019,4.191859851,4.191859834,0.04106382,1,3,-91.9314543,-26.47608954,-65.45536476,0,0,0,46.11999865,0,21595910000.0,13512323007.0,1,4135.931174,-1,-79.50741529,0,1.377901448,-14.38018174,1,1,4346.064572,82033020856.0,5183.870837,4646.397205,4108.923573,4445.450195,50.41483136,29.89519487,-84.41776542,1
69,2000-04-10 00:00:00,4188.200195,4475.200195,4475.200195,4188.169922,4188.200195,1446140000,4288.118722,4395.328125,4561.410029,0.0,0.0,0.0,-287.0,287.030273,-5.808003883,-5.808003883,-0.059834975,0,0,-107.4898629,-42.67884421,-64.8110187,0,0,0,39.38027737,0,20149770000.0,13624377471.0,1,4044.38123,0,-111.9749613,1,2.173297865,-2.51359538,1,1,4267.132384,77643120978.0,5145.180819,4605.424828,4065.668837,4187.200195,1.922873344,26.66965083,-92.87161087,-1
70,2000-04-11 00:00:00,4055.899902,4094.610107,4182.959961,4009.52002,4055.899902,1679390000,4214.271554,4317.529102,4563.721025,0.0,0.0,0.0,-38.710205,173.439941,-3.158881782,-3.158881783,-0.032098507,0,0,-129.0084131,-59.94475799,-69.06365511,0,0,0,36.4422052,0,18470380000.0,13705225813.0,1,3959.202159,0,-114.1823946,1,-1.888257055,0.554314086,1,1,4161.516143,72018095820.0,5134.912136,4564.884812,3994.857488,4054.899902,-26.5085515,8.609717736,-143.5356456,-1
71,2000-04-12 00:00:00,3769.629883,4050.320068,4077.919922,3769.169922,3769.629883,1921090000,4149.407227,4230.025098,4558.074023,0.0,0.0,0.0,-280.690185,308.75,-7.058113524,-7.058113512,-0.073195765,0,0,-167.2338496,-81.40257631,-85.83127326,0,0,0,31.0449347,0,16549290000.0,13752125671.0,1,3832.23504,0,-130.8000537,1,-18.98580318,-6.233587457,1,1,3965.573013,62314521015.0,5178.751651,4520.265765,3861.779878,3768.629883,-42.89902835,-22.49490217,-159.6842434,-1
72,2000-04-13 00:00:00,3676.780029,3839.560059,3914.679932,3676.669922,3676.780029,1951500000,4081.962926,4151.914087,4550.130425,0.0,0.0,0.0,-162.78003,238.01001,-2.463102649,-2.463102662,-0.024939445,0,0,-202.6835804,-105.6587771,-97.02480329,0,0,0,29.51791295,1,14597790000.0,13765912287.0,1,3721.285092,0,-121.4798332,1,-22.15409381,-14.34271802,1,1,3821.176521,55750695958.0,5226.088619,4477.130522,3728.172425,3675.780029,-29.31666155,-32.90808047,-161.6503696,-1
73,2000-04-14 00:00:00,3321.290039,3597.439941,3615.639893,3265.97998,3321.290039,2555780000,3960.830043,4026.760083,4532.336626,0.0,0.0,0.0,-276.149902,349.659913,-9.668513955,-9.66851395,-0.101684104,0,0,-256.5059775,-135.8282172,-120.6777603,0,0,0,24.54083309,1,12042010000.0,13738122804.0,-1,3550.384527,1,-122.010917,1,-24.76360129,-21.96783276,1,1,3571.23328,45508212978.0,5297.629909,4410.649565,3523.669221,3320.290039,-39.15515381,-37.12361457,-192.997624,-1
74,2000-04-17 00:00:00,3539.159912,3232.939941,3539.77002,3227.040039,3539.159912,2482830000,3856.772879,3958.308057,4518.237021,0.0,0.0,0.0,306.219971,312.729981,6.55979666,6.559796659,0.063536113,1,1,-278.3714443,-164.3368626,-114.0345817,0,0,0,32.09748331,0,14524840000.0,13750664984.0,1,3473.788445,0,-100.0462116,1,-14.51232058,-20.47667189,1,1,3555.196596,44897725443.0,5293.26158,4350.698614,3408.135649,3538.159912,6.398664175,-20.6910504,-160.9124564,1
