,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,ROC,CCI,direction
65,2000-04-04 00:00:00,69.47766113,116.156792,121.355164,110.002388,115.858032,17433891,69.8359484,68.95807724,64.72690308,0.0,0.0,0.0,-0.29876,11.352776,-0.665930307,-0.665979645,-0.006681575,0,0,1.808244847,1.313140713,0.495104134,0,0,0,58.32726801,0,6316485,-7609392.243,1,71.81298409,0,-38.30506623,0,60.35663279,61.09109201,0,0,69.42975221,320432.2782,73.16270637,65.35358302,57.54445967,68.47766113,30.52632678,25.65181988,10.17044429,99.04662104,-1
66,2000-04-05 00:00:00,71.66336823,115.200768,120.219887,114.483749,119.502869,9093401,69.68238831,69.57438049,64.79570297,0.0,0.0,0.0,4.302101,5.736138,3.145913459,3.145951072,0.030974435,1,1,1.966415757,1.443795722,0.522620035,0,0,0,62.28926307,0,15409886,-7206231.169,1,72.12681047,0,-19.62261899,-1,70.27410068,64.86301751,0,0,70.54656022,336378.5196,73.67143642,65.95418985,58.23694327,70.66336823,60.39472857,48.14189858,10.86475838,92.24238017,1
67,2000-04-06 00:00:00,70.37343597,118.068832,122.370934,117.232315,117.351814,9296220,69.70286451,70.0043602,64.86590729,0.0,0.0,0.0,-0.717018,5.138619,-1.799988311,-1.80000281,-0.018163852,0,0,1.96502896,1.54804237,0.416986591,0,0,0,58.73986643,0,6113666,-6975834.588,1,71.87048113,0,-36.97478933,0,68.36584182,66.33219176,0,0,70.4599981,335124.051,73.99576884,66.40464656,58.81352427,69.37343597,27.29466746,39.40524093,8.149721447,89.9619117,-1
68,2000-04-07 00:00:00,70.58842468,118.068832,120.160133,116.156792,117.710327,5627794,70.04070827,70.14768677,64.97763702,0.0,0.0,0.0,-0.358505,4.003341,0.305496961,0.305502734,0.003050313,1,1,1.958699042,1.630173704,0.328525338,0,0,0,59.15758729,0,11741460,-6656019.067,1,71.71179677,0,-37.78799522,0,68.53819882,69.05938044,0,0,70.52421139,336054.3384,74.33031973,66.81756428,59.30480884,69.58842468,26.20773695,37.96571099,7.768034981,68.61288249,1
69,2000-04-10 00:00:00,70.01512146,119.263863,119.861374,116.216537,116.754303,5760636,69.98952048,69.87537003,65.10009354,0.0,0.0,0.0,-2.50956,3.644837,-0.812177386,-0.812183624,-0.008154935,0,0,1.885684758,1.681275915,0.204408843,0,0,0,57.48621699,0,5980824,-6442681.818,1,71.26883094,0,-47.57279613,0,59.22147311,65.37517125,0,0,70.26966642,332376.7182,74.31738042,67.27825801,60.23913559,69.01512146,9.280304063,20.92756949,5.965287532,57.64994881,-1
70,2000-04-11 00:00:00,68.4385376,116.276291,116.276291,112.631454,114.125237,8094680,70.07142639,69.69621353,65.18314362,0.0,0.0,0.0,-2.151054,3.644837,-2.25177623,-2.251793666,-0.022775158,0,0,1.681223176,1.681265367,-4.21914e-05,0,0,0,53.04762195,0,-2113856,-6370461.8,1,70.28799556,0,-71.71719024,0,47.6406728,58.46678158,0,0,69.35410201,319370.7267,74.19671347,67.59733218,60.99795089,67.4385376,-14.7239637,6.921359103,-1.036251538,13.1954003,-1
71,2000-04-12 00:00:00,65.21366119,114.364243,114.364243,106.77581,108.747612,9293919,69.39574432,69.39522781,65.22746719,0.0,0.0,0.0,-5.616631,7.588433,-4.712076729,-4.712038407,-0.048267107,0,0,1.244618141,1.593935922,-0.349317781,0,0,0,45.33660785,0,-11407775,-6453529.29,-1,68.38970369,0,-168.1159034,1,4.198036755,37.02006089,1,0,67.2838816,291222.7442,73.99512624,67.73724674,61.47936724,64.21366119,-31.36158811,-12.26841592,-10.34479612,-38.74366788,-1
72,2000-04-13 00:00:00,63.42208099,107.552582,109.28537,105.162521,105.76004,8615274,68.53066145,68.70009232,65.19587006,0.0,0.0,0.0,-1.792542,4.122849,-2.747246769,-2.74725297,-0.027856893,0,0,0.745446908,1.424238119,-0.678791211,0,0,0,41.7092852,0,-20023049,-6674749.166,-1,66.5496884,0,-126.4573641,1,-22.09681924,9.91396344,1,1,65.3529813,266506.4006,73.74237876,67.83621089,61.93004302,62.42208099,-30.18290271,-25.42281817,-9.693879546,-113.6376444,-1
73,2000-04-14 00:00:00,60.1972084,104.983269,107.791588,98.350861,100.382408,12323972,66.89263862,67.93329353,65.05825432,0.0,0.0,0.0,-4.600861,9.440727,-5.084778895,-5.084748455,-0.052186102,0,0,0.088608421,1.15711218,-1.068503759,0,0,0,36.10896125,0,-32347021,-7088588.838,-1,64.60728438,1,-150.8197007,1,-48.46432272,-22.12103507,1,1,62.77509485,235744.7908,74.09152283,67.72700646,61.36249008,59.1972084,-29.83333454,-30.45927512,-11.76472595,-155.3161537,-1
74,2000-04-17 00:00:00,64.13871002,99.306885,107.313576,98.769119,106.95507,10428097,66.00196348,67.35282097,65.01665016,0.0,0.0,0.0,7.648185,8.544457,6.547648507,6.547623364,0.063422103,1,1,-0.112596629,0.903170418,-1.015767047,-1,0,0,45.7046635,0,-21918924,-7325020.348,-1,63.76346609,0,-102.3809356,1,-26.5526668,-32.37126959,1,1,63.45690244,243636.9236,74.00772942,67.77819297,61.54865653,63.13871002,29.29107824,-10.24171967,-8.859487768,-123.0990549,1
75,2000-04-18 00:00:00,63.92373657,107.313576,110.062141,105.222275,106.596558,8582953,65.04986518,66.79742851,64.98792747,0.0,0.0,0.0,-0.717018,4.839866,-0.335169587,-0.335198696,-0.003357325,0,0,-0.28610164,0.665316006,-0.951417646,0,0,0,45.30500341,0,-30501877,-7690507.247,-1,62.70623595,0,-104.7619111,1,-19.32084913,-31.44594622,1,1,63.6903195,246378.7301,74.04937582,67.74406851,61.4387612,62.92373657,40.30613221,13.2546253,-5.807777587,-95.67794967,-1
76,2000-04-19 00:00:00,60.1972084,104.923515,104.923515,98.291107,100.382408,15349527,63.64730617,65.65081253,64.82955154,0.0,0.0,0.0,-4.541107,6.632408,-5.829646963,-5.829597237,-0.060064778,0,0,-0.716051099,0.389042585,-1.105093684,0,0,0,38.94715371,0,-45851404,-8285858.189,-1,61.10404201,0,-126.0273855,1,-11.05674406,-18.97675333,1,1,61.94376395,226354.8156,74.51404463,67.51201266,60.50998069,59.1972084,1.90354985,23.83358676,-13.9344417,-159.8660483,-1
77,2000-04-20 00:00:00,59.62395096,100.382408,100.621414,97.574089,99.426384,11122432,62.38807951,64.57586403,64.6761927,0.0,0.0,0.0,-0.956024,3.047325,-0.952299054,-0.952382015,-0.009568624,0,0,-1.0904759,0.093138888,-1.183614788,0,0,0,38.06226491,0,-56973836,-9037456.448,-1,59.23253108,0,-105.4945121,1,-12.09460288,-14.15739869,1,1,60.78385746,213675.0596,74.96498039,67.23218482,59.49938925,58.62395096,-4.306224061,12.634486,-14.18255885,-172.8604207,-1
78,2000-04-24 00:00:00,61.0572052,97.514343,102.473709,96.797325,101.816444,8915163,61.79430008,63.62274208,64.53143303,0.0,0.0,0.0,4.302101,5.676384,2.403822992,2.403848862,0.02375386,1,1,-1.257067917,-0.176902473,-1.080165444,0,-1,0,41.63285223,0,-48058673,-9633591.81,-1,58.40761549,0,-94.50548794,1,-8.675795161,-10.60904737,1,1,60.92053133,215143.8746,75.15266623,66.99330702,58.83394782,60.0572052,17.68019247,5.092506087,-14.79997841,-124.5113487,1
79,2000-04-25 00:00:00,64.49703217,101.816444,108.030594,101.756691,107.552582,10016914,61.94786453,63.07093315,64.4984684,0.0,0.0,0.0,5.736138,6.273903,5.633777298,5.633803121,0.054807995,1,2,-1.098861017,-0.361294182,-0.737566835,0,0,0,49.20172715,0,-38041759,-10063163.89,-1,58.77656585,-1,-68.13185762,0,10.62271413,-3.382561304,1,1,62.70878175,234986.4207,74.93697092,66.77149146,58.606012,63.49703217,79.65427517,31.00941453,-8.350315325,-55.39151088,1
80,2000-04-26 00:00:00,63.35041046,107.552582,108.926865,104.206497,105.640533,6467209,62.39832197,62.56212044,64.43468788,0.0,0.0,0.0,-1.912049,4.720368,-1.77778987,-1.777780658,-0.017937824,0,0,-1.053855507,-0.499806447,-0.55404906,0,0,0,47.01320493,0,-44508968,-10578801.84,-1,59.3664067,-1,-76.92308152,0,20.14652431,7.36448109,0,1,63.0295961,238670.4652,74.15538204,66.32444963,58.49351722,62.35041046,45.81280494,47.71575753,-10.25382597,-49.72465892,-1
81,2000-04-27 00:00:00,63.42208099,104.684509,108.150093,103.907745,105.76004,6608105,62.29594639,62.38296242,64.36015739,0.0,0.0,0.0,1.075531,4.242348,0.113133493,0.113126086,0.001130695,1,1,-1.000867723,-0.600018702,-0.400849021,0,0,0,47.17138254,0,-37900863,-10983753.36,-1,60.02397713,-1,-73.70029222,0,27.08158954,19.28360933,0,1,63.22583855,240942.8682,73.72049626,66.00025813,58.28001999,62.42208099,33.74386415,53.07031475,-9.416595057,-49.78507983,1
82,2000-04-28 00:00:00,63.92373657,107.07457,107.731834,105.282028,106.596558,5113476,62.29594639,62.43312798,64.31142677,0.0,0.0,0.0,-0.478012,2.449806,0.790979373,0.790958475,0.007878675,1,2,-0.907929069,-0.661600775,-0.246328294,0,0,0,48.33398706,0,-32787387,-11303763.09,-1,61.09184349,0,-68.94409344,0,26.81084427,24.67965271,0,0,63.57478756,245019.0909,73.49707816,65.79550661,58.09393507,62.92373657,39.16666109,39.57444339,-6.596869518,-44.95751454,1
